Area-Distance Function for C2 Data Set
 
-----------------------------------------
Number of pixels     = 11990
Number of bins       = 247
Bin size             = 0.0130138 km
Max flow distance    = 3.2149721 km
Max of Area-Dist fcn = 0.0399145 km^2
-----------------------------------------
 
      0.00000      0.00000
    0.0130138      0.00000
    0.0260275  0.000403473
    0.0390413  0.000403473
    0.0520550  0.000806942
    0.0650688  0.000806937
    0.0780825  0.000403469
    0.0910963   0.00161386
     0.104110  0.000403464
     0.117124  0.000806925
     0.130138   0.00161385
     0.143151   0.00121039
     0.156165   0.00201728
     0.169179   0.00161383
     0.182193   0.00161382
     0.195206   0.00201727
     0.208220   0.00201727
     0.221234   0.00322761
     0.234248   0.00242071
     0.247261   0.00282415
     0.260275   0.00403448
     0.273289   0.00322760
     0.286303   0.00484134
     0.299316   0.00363102
     0.312330   0.00443787
     0.325344   0.00484130
     0.338358   0.00363098
     0.351371   0.00524471
     0.364385   0.00484129
     0.377399   0.00564808
     0.390413   0.00443780
     0.403426   0.00443780
     0.416440   0.00605146
     0.429454   0.00484119
     0.442468   0.00685829
     0.455481   0.00564803
     0.468495   0.00564803
     0.481509   0.00726166
     0.494523   0.00564797
     0.507536   0.00726161
     0.520550   0.00605135
     0.533564   0.00645476
     0.546578   0.00806838
     0.559591   0.00645472
     0.572605   0.00806830
     0.585619   0.00726149
     0.598633   0.00726149
     0.611646   0.00806825
     0.624660   0.00726145
     0.637674   0.00927842
     0.650688   0.00766481
     0.663701   0.00887498
     0.676715   0.00968175
     0.689729   0.00766473
     0.702743   0.00968165
     0.715756   0.00847150
     0.728770    0.0100850
     0.741784   0.00887483
     0.754798   0.00887483
     0.767811    0.0112950
     0.780825   0.00927816
     0.793839    0.0108916
     0.806853    0.0100849
     0.819866   0.00968148
     0.832880    0.0133118
     0.845894    0.0100848
     0.858908    0.0121016
     0.871921    0.0121016
     0.884935    0.0104881
     0.897949    0.0149250
     0.910963    0.0108914
     0.923976    0.0121015
     0.936990    0.0157317
     0.950004    0.0116981
     0.963018    0.0177484
     0.976031    0.0121014
     0.989045    0.0121013
      1.00206    0.0181515
      1.01507    0.0129080
      1.02809    0.0197649
      1.04110    0.0133113
      1.05411    0.0141179
      1.06713    0.0185546
      1.08014    0.0125044
      1.09316    0.0197645
      1.10617    0.0153278
      1.11918    0.0153278
      1.13220    0.0201676
      1.14521    0.0141177
      1.15822    0.0177476
      1.17124    0.0185542
      1.18425    0.0165375
      1.19727    0.0221840
      1.21028    0.0149241
      1.22329    0.0177473
      1.23631    0.0205706
      1.24932    0.0177472
      1.26233    0.0201672
      1.27535    0.0193605
      1.28836    0.0209738
      1.30138    0.0221836
      1.31439    0.0185536
      1.32740    0.0185536
      1.34042    0.0254097
      1.35343    0.0197635
      1.36644    0.0233930
      1.37946    0.0197632
      1.39247    0.0181501
      1.40549    0.0258126
      1.41850    0.0201665
      1.43151    0.0246024
      1.44453    0.0213761
      1.45754    0.0189564
      1.47055    0.0254089
      1.48357    0.0217793
      1.49658    0.0241990
      1.50960    0.0246022
      1.52261    0.0213759
      1.53562    0.0262150
      1.54864    0.0209724
      1.56165    0.0229887
      1.57466    0.0282312
      1.58768    0.0197622
      1.60069    0.0274244
      1.61371    0.0237949
      1.62672    0.0237949
      1.63973    0.0274241
      1.65275    0.0217781
      1.66576    0.0237945
      1.67877    0.0270205
      1.69179    0.0246010
      1.70480    0.0270203
      1.71782    0.0246007
      1.73083    0.0233910
      1.74384    0.0294397
      1.75686    0.0241972
      1.76987    0.0278265
      1.78288    0.0286328
      1.79590    0.0233905
      1.80891    0.0302456
      1.82193    0.0258098
      1.83494    0.0282291
      1.84795    0.0306486
      1.86097    0.0217771
      1.87398    0.0334710
      1.88699    0.0258093
      1.90001    0.0233897
      1.91302    0.0366966
      1.92604    0.0221798
      1.93905    0.0346800
      1.95206    0.0266153
      1.96508    0.0217764
      1.97809    0.0395186
      1.99110    0.0217763
      2.00412    0.0354858
      2.01713    0.0286309
      2.03015    0.0229857
      2.04316    0.0395176
      2.05617    0.0217759
      2.06919    0.0318564
      2.08220    0.0338722
      2.09521    0.0250014
      2.10823    0.0387106
      2.12124    0.0241948
      2.13426    0.0310492
      2.14727    0.0358877
      2.16028    0.0274201
      2.17330    0.0370969
      2.18631    0.0274200
      2.19932    0.0306454
      2.21234    0.0338709
      2.22535    0.0294356
      2.23837    0.0350801
      2.25138    0.0318546
      2.26439    0.0306447
      2.27741    0.0334670
      2.29042    0.0310479
      2.30343    0.0322572
      2.31645    0.0362891
      2.32946    0.0310476
      2.34248    0.0358855
      2.35549    0.0326601
      2.36850    0.0286280
      2.38152    0.0383043
      2.39453    0.0322566
      2.40754    0.0370944
      2.42056    0.0346753
      2.43357    0.0294337
      2.44659    0.0374971
      2.45960    0.0330623
      2.47261    0.0370936
      2.48563    0.0366905
      2.49864    0.0326585
      2.51165    0.0378995
      2.52467    0.0326585
      2.53768    0.0374960
      2.55070    0.0354802
      2.56371    0.0354801
      2.57672    0.0399145
      2.58974    0.0334641
      2.60275    0.0362858
      2.61576    0.0350763
      2.62878    0.0374952
      2.64179    0.0387042
      2.65481    0.0370917
      2.66782    0.0354787
      2.68083    0.0358819
      2.69385    0.0374944
      2.70686    0.0362847
      2.71987    0.0387035
      2.73289    0.0366874
      2.74590    0.0374936
      2.75892    0.0354780
      2.77193    0.0370902
      2.78494    0.0382995
      2.79796    0.0334619
      2.81097    0.0382993
      2.82398    0.0346712
      2.83700    0.0330583
      2.85001    0.0358803
      2.86303    0.0338645
      2.87604    0.0314456
      2.88905    0.0314453
      2.90207    0.0253984
      2.91508    0.0270109
      2.92809    0.0225763
      2.94111    0.0197545
      2.95412    0.0193511
      2.96714    0.0169323
      2.98015    0.0165290
      2.99316    0.0137071
      3.00618    0.0145133
      3.01919    0.0141102
      3.03220    0.0104819
      3.04522    0.0112882
      3.05823   0.00927220
      3.07125   0.00604704
      3.08426   0.00604704
      3.09727   0.00483746
      3.11029   0.00282172
      3.12330   0.00201550
      3.13631   0.00161240
      3.14933   0.00120929
      3.16234   0.00201547
      3.17536   0.00161236
      3.18837   0.00120927
      3.20138  0.000806176
