site_id,date,hour,measurement,cpeak_value,unit,flag,time-seconds
CPEAK,2008-07-28,1600,Tipping Rain Bucket,0.54,mm,G,1217260800.0
CPEAK,2008-07-28,1700,Tipping Rain Bucket,0.27,mm,G,1217264400.0
CPEAK,2008-07-28,1800,Tipping Rain Bucket,3.51,mm,G,1217268000.0
CPEAK,2008-07-28,1900,Tipping Rain Bucket,3.51,mm,G,1217271600.0
CPEAK,2008-07-28,2000,Tipping Rain Bucket,0.0,mm,G,1217275200.0
CPEAK,2008-07-28,2100,Tipping Rain Bucket,0.27,mm,G,1217278800.0
CPEAK,2008-07-28,2200,Tipping Rain Bucket,0.27,mm,G,1217282400.0
CPEAK,2008-07-28,2300,Tipping Rain Bucket,0.81,mm,G,1217286000.0
CPEAK,2008-07-28,2400,Tipping Rain Bucket,2.7,mm,G,1217289600.0
CPEAK,2008-07-29,100,Tipping Rain Bucket,2.97,mm,G,1217293200.0
CPEAK,2008-07-29,200,Tipping Rain Bucket,3.24,mm,G,1217296800.0
CPEAK,2008-07-29,300,Tipping Rain Bucket,1.62,mm,G,1217300400.0
CPEAK,2008-07-29,400,Tipping Rain Bucket,3.51,mm,G,1217304000.0
CPEAK,2008-07-29,500,Tipping Rain Bucket,4.59,mm,G,1217307600.0
CPEAK,2008-07-29,600,Tipping Rain Bucket,3.24,mm,G,1217311200.0
CPEAK,2008-07-29,700,Tipping Rain Bucket,2.97,mm,G,1217314800.0
CPEAK,2008-07-29,800,Tipping Rain Bucket,0.54,mm,G,1217318400.0
CPEAK,2008-07-29,900,Tipping Rain Bucket,0.0,mm,G,1217322000.0
CPEAK,2008-07-29,1000,Tipping Rain Bucket,0.0,mm,G,1217325600.0
CPEAK,2008-07-29,1100,Tipping Rain Bucket,0.27,mm,G,1217329200.0
CPEAK,2008-07-29,1200,Tipping Rain Bucket,0.0,mm,G,1217332800.0
CPEAK,2008-07-29,1300,Tipping Rain Bucket,0.0,mm,G,1217336400.0
CPEAK,2008-07-29,1400,Tipping Rain Bucket,0.0,mm,G,1217340000.0
CPEAK,2008-07-29,1500,Tipping Rain Bucket,0.0,mm,G,1217343600.0
CPEAK,2008-07-29,1600,Tipping Rain Bucket,0.27,mm,G,1217347200.0
CPEAK,2008-07-29,1700,Tipping Rain Bucket,1.08,mm,G,1217350800.0
CPEAK,2008-07-29,1800,Tipping Rain Bucket,0.27,mm,G,1217354400.0
CPEAK,2008-07-29,1900,Tipping Rain Bucket,0.27,mm,G,1217358000.0
CPEAK,2008-07-29,2000,Tipping Rain Bucket,1.62,mm,G,1217361600.0
CPEAK,2008-07-29,2100,Tipping Rain Bucket,1.35,mm,G,1217365200.0
CPEAK,2008-07-29,2200,Tipping Rain Bucket,2.16,mm,G,1217368800.0
CPEAK,2008-07-29,2300,Tipping Rain Bucket,2.7,mm,G,1217372400.0
CPEAK,2008-07-29,2400,Tipping Rain Bucket,3.24,mm,G,1217376000.0
CPEAK,2008-07-30,100,Tipping Rain Bucket,1.35,mm,G,1217379600.0
CPEAK,2008-07-30,200,Tipping Rain Bucket,0.54,mm,G,1217383200.0
CPEAK,2008-07-30,300,Tipping Rain Bucket,0.0,mm,G,1217386800.0
CPEAK,2008-07-30,400,Tipping Rain Bucket,0.27,mm,G,1217390400.0
CPEAK,2008-07-30,500,Tipping Rain Bucket,0.27,mm,G,1217394000.0
CPEAK,2008-07-30,600,Tipping Rain Bucket,0.81,mm,G,1217397600.0
CPEAK,2008-07-30,700,Tipping Rain Bucket,0.54,mm,G,1217401200.0
CPEAK,2008-07-30,800,Tipping Rain Bucket,0.27,mm,G,1217404800.0
CPEAK,2008-07-30,900,Tipping Rain Bucket,0.0,mm,G,1217408400.0
CPEAK,2008-07-30,1000,Tipping Rain Bucket,0.0,mm,G,1217412000.0
CPEAK,2008-07-30,1100,Tipping Rain Bucket,0.0,mm,G,1217415600.0
CPEAK,2008-07-30,1200,Tipping Rain Bucket,0.0,mm,G,1217419200.0
CPEAK,2008-07-30,1300,Tipping Rain Bucket,0.0,mm,G,1217422800.0
CPEAK,2008-07-30,1400,Tipping Rain Bucket,0.0,mm,G,1217426400.0
CPEAK,2008-07-30,1500,Tipping Rain Bucket,0.0,mm,G,1217430000.0
CPEAK,2008-07-30,1600,Tipping Rain Bucket,0.0,mm,G,1217433600.0
CPEAK,2008-07-30,1700,Tipping Rain Bucket,0.0,mm,G,1217437200.0
CPEAK,2008-07-30,1800,Tipping Rain Bucket,0.0,mm,G,1217440800.0
